shrp_id,issue_summary,root_cause,timeline,impacted_customers,resolution
SHRP-1001,"Customers with escrowed mortgage loans experienced incorrect allocation of monthly P&I payments between principal and interest due to a servicing platform calculation defect. Between January 2023 and February 2023, payments posted after the nightly batch cycle were applied using an outdated amortization schedule, causing excess principal reduction and under-accrued interest. Impacted customers received inaccurate monthly statements, payoff quotes, and year-to-date interest summaries. The impact period spans all loans with payment activity from 01/01/2023 through 02/28/2023.","System error","Jan-Feb 2023",1200,"Refund issued and loan balances recalculated"
SHRP-1002,"A group of fixed-rate mortgage customers were reported to credit bureaus as 30 days delinquent even though their payments were received within the contractual grace period. The issue occurred from March 2023 through April 2023 after a configuration change in payment cutoff logic caused weekend and holiday payments to be timestamped incorrectly. Customers experienced temporary credit score reductions and potential downstream underwriting impacts during the reporting cycle.","System configuration error","Mar-Apr 2023",850,"Credit bureau corrections submitted and customer letters mailed"
SHRP-1003,"Adjustable-rate mortgage customers were charged an incorrect interest rate after scheduled annual rate resets. From May 2023 through July 2023, the index margin table used by the servicing engine referenced prior-year rate caps, resulting in overcharged monthly interest and higher scheduled payments. Customers may have paid excess interest, received inaccurate escrow analyses, and been quoted incorrect future payment obligations.","Rate table mapping error","May-Jul 2023",640,"Interest refunded and payment schedules corrected"
SHRP-1004,"Mortgage customers with lender-placed insurance were assessed inflated monthly escrow contributions because the annual homeowners insurance premium amount was duplicated during policy renewal ingestion. The issue impacted statements generated from August 2023 through October 2023 and caused artificially high escrow shortages, increased monthly payments, and in some cases unnecessary delinquency notices when customers paid their prior installment amount.","Insurance feed duplication","Aug-Oct 2023",430,"Escrow balances corrected and excess payments refunded"
SHRP-1005,"A subset of biweekly mortgage payment customers experienced duplicate application of partial principal payments due to a retry failure in the ACH ingestion process. During November 2023, certain successful transactions were replayed and posted twice, causing temporary overpayment, distorted payoff balances, and inaccurate online transaction histories. Some customers also received incorrect interest accrual benefits for the duplicated posting window.","ACH retry logic defect","Nov 2023",275,"Duplicate transactions reversed and statements reissued"
SHRP-1006,"Customers in active loss mitigation plans had trial payment amounts incorrectly amortized as full contractual P&I installments. Between December 2023 and January 2024, the workout module sent incomplete payment codes to the core servicing platform, causing delinquency aging to continue despite timely customer payments. This created inaccurate delinquency reporting, collection call triggers, and incorrect default interest accrual for impacted accounts.","Workflow integration error","Dec 2023-Jan 2024",510,"Delinquency status corrected and fees waived"
SHRP-1007,"A mortgage boarding issue caused newly transferred loans to inherit incorrect escrow cushion percentages from the prior servicer conversion file. From February 2024 through March 2024, impacted customers received monthly statements with overstated escrow collection requirements related to taxes and insurance, increasing their total monthly payment amount beyond regulatory tolerance in some cases.","Data conversion defect","Feb-Mar 2024",390,"Escrow analyses rerun and customer notices resent"
SHRP-1008,"Certain customers who requested principal-only curtailment payments had those funds incorrectly spread across future scheduled installments instead of immediate principal reduction. The issue affected online and branch-submitted curtailments processed from April 2024 through June 2024, resulting in inaccurate amortization progress, interest savings misstatements, and delayed maturity date adjustments.","Payment code mapping issue","Apr-Jun 2024",720,"Principal balances corrected and amortization schedules regenerated"
SHRP-1009,"Mortgage customers with force-placed flood insurance coverage were charged duplicate premium amounts after overlapping vendor file submissions. Between July 2024 and August 2024, duplicate insurance records caused monthly escrow drafts to exceed required premium coverage by up to 200 percent, creating unnecessary escrow shortages and elevated payment demands.","Vendor duplicate feed","Jul-Aug 2024",310,"Insurance premiums reconciled and escrow refunds processed"
SHRP-1010,"A servicing rules update incorrectly removed active auto-pay discounts tied to relationship pricing for eligible mortgage customers. From September 2024 through November 2024, impacted loans reverted to the standard note rate, increasing monthly interest charges and scheduled P&I payments. Customers were overcharged interest and some received misleading ARM adjustment notices despite being fixed-rate borrowers.","Pricing rules regression","Sep-Nov 2024",560,"Interest adjustments posted and customer rate terms restored"